company_name,city,state,address,phone,website,email,industry,source_task
Acadian Ambulance Service,,,"130 E. Kaliste Saloom Road, Lafayette, LA 70508",1-800-259-3333,https://www.acadianhealth.com,benefits@acadian.com,,search_TX_FortWorth.json
Lifeline EMS,,,"115 E Davis St Ste. B, Duncanville, TX 75116",(214) 550-1411,https://lifelineems.org,ccramp@ensignservices.net,,search_TX_Dallas.json
CareFlite,,,"3110 S. Great SW Parkway, Grand Prairie, TX 75052",(972) 339-4200,https://careflite.org,Webmaster@careflite.org,,search_TX_Dallas.json
Elite Medical Services,,,"1110 W Harris Rd Suite 126, Arlington, TX 76001",(682) 558-7997,https://elitemedicalsvcs.com,ems@elitemedicalsvcs.com,,search_TX_Dallas.json
Maverick Medical Transportation,,,"2081 Hutton Dr, Suite 105, Carrollton, TX 75006",(469) 892-0024,https://maverickmtc.com,info@maverickmtc.com,,search_TX_Dallas.json
Paramount Medical Transport,,,"2000 E Lamar Blvd #613, Arlington, TX 76006",(214) 396-9791,https://paramountnemt.org,staff@paramountnemt.com,,search_TX_Dallas.json
Integrity EMS Services,,,"5700 Tennyson Pkwy, Plano, TX 75024",(972) 800-5125,https://integrityemsservices.com,Info@IntegrityEMSServices.com,,search_TX_Dallas.json
MetaCare EMS,,,"1316 W Euless Blvd Ste 600, Euless, TX 76040",(469) 565-2101,https://metacaretransport.com,,,search_TX_Dallas.json
"Crown Shields Transport, LLC",,,"DFW Metroplex Area, TX",(940) 220-9710,https://crownshieldstransportllc.com,crownshieldstransport@gmail.com,,search_TX_Dallas.json
UltraCare Transport LLC,,,"Dallas, TX",,https://ultracaretransport.com,ultracarenemt@gmail.com,,search_TX_Dallas.json
American Medical Response (AMR) LA County,,,"5257 N Vincent Ave, Irwindale, CA 91706",(626) 633-4630,https://www.amr.net,,,search_CA_LosAngeles.json
Royalty Ambulance,,,"3235 San Fernando Rd., Unit 6, Los Angeles, CA 90065",(818) 550-5833,http://www.royaltyambulance.com,info@royaltyambulance.com,,search_CA_LosAngeles.json
Premier Ambulance,,,"260 N Palm St. Ste. 200, Brea, CA 92821",(888) 353-9556,http://www.premieramb.com,Hiring@premieramb.com,,search_CA_LosAngeles.json
MedReach Ambulance Service,,,"1303 Kona Drive, Rancho Dominguez, CA 90220",(877) 633-7322,http://www.medreachambulance.com,,,search_CA_LosAngeles.json
Ambulife Ambulance,,,"6644 Van Nuys Blvd. Suite B, Van Nuys, CA 91405",(877) 557-7888,http://ambulifela.com,Info@AmbulifeLA.com,,search_CA_LosAngeles.json
Falck Mobile Health Los Angeles,,,"12160 Mora Dr, Santa Fe Springs, CA 90670",(562) 531-1700,http://falck.us,falckusa@falck.com,,search_CA_LosAngeles.json
Affinity Transit,,,"1621 First St. Suite #6, San Fernando, CA 91340",(818) 800-4777,http://affinitytransit.com,dispatch@affinitytransit.com,,search_CA_LosAngeles.json
Medix Transportation,,,Serving Los Angeles Metro Area,(661) 502-6852,http://medixtransportation.com,,,search_CA_LosAngeles.json
Genesis LA Transport,,,"8605 Santa Monica Blvd., West Hollywood CA 90069",(888) 877-3650,http://genesislatransport.com,info@genesislatransport.com,,search_CA_LosAngeles.json
Urban Care Transport,,,"4500 Park Granada Blvd Ste 202, Calabasas, CA 91302",(818) 324-6878,http://urbancaretransportation.com,info@urbancaretransportation.com,,search_CA_LosAngeles.json
Houston Fire Department EMS,,,"600 Jefferson, Suite 860, Houston, TX 77002",713-837-0311,https://www.houstontx.gov/fire/ems/,ems.customerservice@houstontx.gov,,search_TX_Houston.json
ZAP EMS,,,"1316 S Loop W, Houston, TX 77054",281-914-4635,https://emszap.com,,,search_TX_Houston.json
Orion EMS,,,"448 W 19th Street, Suite 134, Houston, TX 77008",713-864-7900,https://orionems.com,info@orionems.com,,search_TX_Houston.json
BestCare EMS,,,"4040 Willowbend Blvd, Houston, TX 77025",713-661-3443,https://bestcareems.com,Customer_Care@BestCareEMS.com,,search_TX_Houston.json
